#options: 640x360 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=11 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=48 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1658 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:47 out:48 type:b dur:2 cpbdur:2 q:16.83 aq:12.38 tex:8485 mv:3152 misc:987 imb:3 pmb:459 smb:458 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:17.20 aq:8.94 tex:107581 mv:6910 misc:285 imb:173 pmb:726 smb:21 d:s ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:17.12 aq:11.55 tex:22671 mv:6184 misc:833 imb:10 pmb:687 smb:223 d:t ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:17.08 aq:12.66 tex:8069 mv:3411 misc:984 imb:4 pmb:457 smb:459 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:17.16 aq:12.60 tex:10149 mv:3886 misc:957 imb:4 pmb:551 smb:365 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:17.05 aq:8.81 tex:107420 mv:6974 misc:310 imb:179 pmb:714 smb:27 d:s ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:17.12 aq:11.24 tex:24227 mv:6474 misc:827 imb:8 pmb:706 smb:206 d:t ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:17.16 aq:12.94 tex:8879 mv:3836 misc:997 imb:1 pmb:512 smb:407 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:17.09 aq:12.70 tex:9125 mv:3642 misc:969 imb:2 pmb:502 smb:416 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:16.58 aq:8.38 tex:121730 mv:6983 misc:271 imb:154 pmb:746 smb:20 d:s ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:16.82 aq:10.73 tex:28756 mv:7403 misc:665 imb:11 pmb:763 smb:146 d:t ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:16.93 aq:12.60 tex:9084 mv:3982 misc:990 imb:2 pmb:506 smb:412 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:16.70 aq:12.41 tex:10846 mv:3879 misc:979 imb:2 pmb:539 smb:379 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:16.33 aq:8.22 tex:126013 mv:7004 misc:271 imb:184 pmb:712 smb:24 d:s ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:16.46 aq:10.55 tex:32841 mv:6832 misc:695 imb:12 pmb:757 smb:151 d:t ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:16.52 aq:12.26 tex:11540 mv:3910 misc:966 imb:2 pmb:547 smb:371 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:16.39 aq:12.22 tex:12174 mv:3901 misc:997 imb:2 pmb:556 smb:362 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:16.15 aq:8.00 tex:135101 mv:7180 misc:231 imb:154 pmb:753 smb:13 d:s ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:16.24 aq:10.35 tex:33675 mv:7327 misc:702 imb:9 pmb:769 smb:142 d:t ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:16.28 aq:12.15 tex:12709 mv:3869 misc:998 imb:2 pmb:537 smb:381 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:16.19 aq:11.95 tex:12852 mv:4072 misc:988 imb:2 pmb:532 smb:386 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:16.09 aq:7.98 tex:138940 mv:7398 misc:222 imb:171 pmb:739 smb:10 d:s ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:16.12 aq:10.25 tex:36307 mv:7937 misc:660 imb:17 pmb:766 smb:137 d:t ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:16.13 aq:11.74 tex:15500 mv:4241 misc:931 imb:2 pmb:603 smb:315 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:16.10 aq:11.88 tex:15906 mv:4338 misc:972 imb:3 pmb:594 smb:323 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:16.07 aq:7.81 tex:146093 mv:7316 misc:255 imb:171 pmb:731 smb:18 d:s ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:16.08 aq:10.14 tex:38822 mv:7784 misc:618 imb:11 pmb:791 smb:118 d:t ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:16.08 aq:11.80 tex:15628 mv:4506 misc:946 imb:1 pmb:612 smb:307 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:16.07 aq:11.91 tex:15877 mv:4522 misc:961 imb:4 pmb:603 smb:313 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:16.10 aq:7.87 tex:145913 mv:7147 misc:236 imb:155 pmb:752 smb:13 d:s ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:16.08 aq:10.16 tex:38412 mv:7908 misc:680 imb:9 pmb:786 smb:125 d:t ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:16.08 aq:12.02 tex:15544 mv:4206 misc:954 imb:4 pmb:601 smb:315 d:s ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:16.09 aq:12.01 tex:15101 mv:4517 misc:958 imb:3 pmb:604 smb:313 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:16.15 aq:8.02 tex:139960 mv:7315 misc:237 imb:173 pmb:733 smb:14 d:s ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:16.13 aq:10.13 tex:38928 mv:8179 misc:621 imb:12 pmb:791 smb:117 d:t ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:16.11 aq:11.77 tex:17243 mv:4520 misc:917 imb:5 pmb:616 smb:299 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:16.14 aq:12.01 tex:14950 mv:4565 misc:933 imb:3 pmb:592 smb:325 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:16.25 aq:8.12 tex:142925 mv:7281 misc:234 imb:170 pmb:735 smb:15 d:s ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:16.20 aq:10.29 tex:39832 mv:8545 misc:615 imb:14 pmb:789 smb:117 d:t ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:16.18 aq:11.99 tex:14895 mv:4470 misc:955 imb:3 pmb:598 smb:319 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:16.23 aq:11.83 tex:15630 mv:4694 misc:940 imb:7 pmb:604 smb:309 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:16.34 aq:8.13 tex:146709 mv:7432 misc:251 imb:191 pmb:714 smb:15 d:s ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:16.30 aq:10.29 tex:42007 mv:8000 misc:593 imb:14 pmb:794 smb:112 d:t ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:16.27 aq:12.01 tex:16606 mv:4899 misc:911 imb:2 pmb:629 smb:289 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:16.32 aq:12.14 tex:16482 mv:4896 misc:910 imb:0 pmb:621 smb:299 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:16.40 aq:8.35 tex:143231 mv:7485 misc:260 imb:151 pmb:753 smb:16 d:s ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:16.37 aq:10.49 tex:41286 mv:8355 misc:647 imb:10 pmb:798 smb:112 d:t ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:16.36 aq:12.15 tex:17534 mv:4862 misc:932 imb:2 pmb:603 smb:315 d:s ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:16.39 aq:12.38 tex:16961 mv:5045 misc:890 imb:3 pmb:620 smb:297 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:16.47 aq:8.52 tex:142202 mv:7437 misc:225 imb:169 pmb:737 smb:14 d:s ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:16.44 aq:10.61 tex:42938 mv:8482 misc:612 imb:13 pmb:791 smb:116 d:t ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:16.42 aq:12.22 tex:17900 mv:5010 misc:898 imb:6 pmb:627 smb:287 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:16.45 aq:12.22 tex:17176 mv:5467 misc:909 imb:2 pmb:634 smb:284 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:16.55 aq:8.63 tex:144607 mv:7346 misc:247 imb:178 pmb:724 smb:18 d:s ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:16.51 aq:10.73 tex:43706 mv:8151 misc:639 imb:11 pmb:786 smb:123 d:t ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:16.49 aq:12.23 tex:18395 mv:5014 misc:887 imb:1 pmb:622 smb:297 d:t ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:16.53 aq:12.37 tex:16903 mv:5210 misc:887 imb:1 pmb:622 smb:297 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:16.64 aq:8.75 tex:141419 mv:7434 misc:235 imb:167 pmb:740 smb:13 d:s ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:16.59 aq:10.75 tex:43327 mv:8079 misc:618 imb:10 pmb:781 smb:129 d:t ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:16.57 aq:12.26 tex:17836 mv:5174 misc:886 imb:5 pmb:623 smb:292 d:s ref:0 ;
